site,monthyear_date,tested,cases,proportion_rdt,count_rdt,notsuspect,suspect,mths_since_irs_continuous,tpr,tpr_adj_cases,cases_adjusted,month,Latitude,Longitude,precip_lag,precip
Aduku,1/1/2020,1526,1080,0.915465269,1397,598,1526,NA,0.707732634,0,1080,1,1.9954,32.7182,247.8425446,20.15823746
Aduku,2/1/2020,1130,783,0.885840708,1001,478,1130,NA,0.692920354,0,783,2,1.9954,32.7182,20.15823746,39.6463089
Aduku,3/1/2020,2087,1550,0.92189746,1924,644,2088,NA,0.742692861,0.742692861,1551,3,1.9954,32.7182,39.6463089,154.3974304
Aduku,4/1/2020,1737,1283,0.99884859,1735,629,1738,NA,0.738629822,0.738629822,1284,4,1.9954,32.7182,154.3974304,158.8478394
Aduku,5/1/2020,1628,1024,0.492014742,801,695,1628,NA,0.628992629,0,1024,5,1.9954,32.7182,158.8478394,120.4293365
Aduku,6/1/2020,1565,1028,0.341214058,534,546,1565,NA,0.65686901,0,1028,6,1.9954,32.7182,120.4293365,130.1112976
Aduku,7/1/2020,1967,1307,0.392475852,772,678,1967,NA,0.66446365,0,1307,7,1.9954,32.7182,130.1112976,96.58112335
Aduku,8/1/2020,1626,1042,0.618696187,1006,665,1627,NA,0.640836408,0.640836408,1043,8,1.9954,32.7182,96.58112335,197.4676971
Aduku,9/1/2020,1697,1082,0.60047142,1019,697,1697,NA,0.637595757,0,1082,9,1.9954,32.7182,197.4676971,209.6235199
Aduku,10/1/2020,1757,1113,0.581104155,1021,717,1757,NA,0.633466135,0,1113,10,1.9954,32.7182,209.6235199,141.8991394
Aduku,11/1/2020,1123,717,0.63935886,718,501,1123,NA,0.638468388,0,717,11,1.9954,32.7182,141.8991394,144.8914948
Aduku,12/1/2020,1290,809,0.652713178,842,553,1290,NA,0.627131783,0,809,12,1.9954,32.7182,144.8914948,24.65811348
Aduku,1/1/2021,1289,808,0.652443755,841,550,1289,NA,0.626842514,0,808,1,1.9954,32.7182,24.65811348,35.52910614
Aduku,2/1/2021,1413,720,0.589525832,833,758,1420,NA,0.50955414,3.566878981,724,2,1.9954,32.7182,35.52910614,28.85421944
Aduku,3/1/2021,1470,729,0.572108844,841,783,1470,NA,0.495918367,0,729,3,1.9954,32.7182,28.85421944,43.84811401
Aduku,4/1/2021,1331,667,0.574755823,765,755,1331,NA,0.501126972,0,667,4,1.9954,32.7182,43.84811401,123.7315674
Aduku,5/1/2021,1863,927,0.594202899,1107,980,1863,NA,0.497584541,0,927,5,1.9954,32.7182,123.7315674,128.4253235
Aduku,6/1/2021,1626,807,0.613161132,997,823,1626,NA,0.496309963,0,807,6,1.9954,32.7182,128.4253235,97.47257996
Aduku,7/1/2021,1543,764,0.59235256,914,813,1543,NA,0.495139339,0,764,7,1.9954,32.7182,97.47257996,57.52319336
Aduku,8/1/2021,1092,482,0.692307692,756,968,1092,NA,0.441391941,0,482,8,1.9954,32.7182,57.52319336,144.2105408
Aduku,9/1/2021,1024,472,0.067382813,69,746,1024,NA,0.4609375,0,472,9,1.9954,32.7182,144.2105408,169.1844788
Aduku,10/1/2021,1562,784,0.1184379,185,800,1562,NA,0.501920615,0,784,10,1.9954,32.7182,169.1844788,115.8860931
Alebtong,6/1/2014,888,875,0.989864865,879,1189,958,0,0.98536036,68.97522523,944,6,2.260724,33.237167,261.0402832,226.417099
Alebtong,7/1/2014,1082,706,0.947319778,1025,924,1199,0,0.652495379,76.34195933,782,7,2.260724,33.237167,226.417099,176.6877594
Alebtong,8/1/2014,655,392,0.903816794,592,691,731,0,0.598473282,45.48396947,437,8,2.260724,33.237167,176.6877594,231.3381653
Alebtong,9/1/2014,558,370,0.94265233,526,1030,708,0,0.663082437,99.46236559,469,9,2.260724,33.237167,231.3381653,144.6702881
Alebtong,10/1/2014,461,265,0.986984816,455,867,822,0,0.57483731,207.516269,473,10,2.260724,33.237167,144.6702881,173.7770844
Alebtong,11/1/2014,433,228,1,433,1512,972,0,0.526558891,283.8152425,512,11,2.260724,33.237167,173.7770844,92.73106384
Alebtong,12/1/2014,370,220,0.997297297,369,1410,788,0,0.594594595,248.5405405,469,12,2.260724,33.237167,92.73106384,24.89381599
Alebtong,1/1/2015,342,153,0.997076023,341,1042,516,0,0.447368421,77.84210526,231,1,2.260724,33.237167,24.89381599,2.960917473
Alebtong,2/1/2015,550,169,0.998181818,549,955,679,1,0.307272727,39.63818182,209,2,2.260724,33.237167,2.960917473,18.63467789
Alebtong,3/1/2015,459,133,0.997821351,458,1433,628,2,0.289760349,48.96949891,182,3,2.260724,33.237167,18.63467789,54.53475571
Alebtong,4/1/2015,292,79,1,292,1109,414,3,0.270547945,33.00684932,112,4,2.260724,33.237167,54.53475571,248.9295959
Alebtong,5/1/2015,66,18,1,66,1070,546,4,0.272727273,130.9090909,149,5,2.260724,33.237167,248.9295959,174.965271
Alebtong,6/1/2015,804,565,0.998756219,803,1367,1234,5,0.702736318,302.1766169,867,6,2.260724,33.237167,174.965271,227.827179
Alebtong,7/1/2015,952,645,1,952,845,1044,6,0.677521008,62.33193277,707,7,2.260724,33.237167,227.827179,200.320755
Alebtong,8/1/2015,626,288,0.987220447,618,642,637,7,0.460063898,5.060702875,293,8,2.260724,33.237167,200.320755,154.625412
Alebtong,9/1/2015,610,176,0.998360656,609,884,630,8,0.28852459,5.770491803,182,9,2.260724,33.237167,154.625412,142.6977844
Alebtong,10/1/2015,541,171,0.985212569,533,923,589,9,0.316081331,15.17190388,186,10,2.260724,33.237167,142.6977844,261.0130005
Alebtong,11/1/2015,710,178,0.957746479,680,1129,766,10,0.250704225,14.03943662,192,11,2.260724,33.237167,261.0130005,192.073761
Alebtong,12/1/2015,535,99,0.936448598,501,1309,593,11,0.185046729,10.73271028,110,12,2.260724,33.237167,192.073761,67.44785309
Alebtong,1/1/2016,587,150,0.94548552,555,959,618,12,0.255536627,7.921635434,158,1,2.260724,33.237167,67.44785309,15.76901913
Alebtong,2/1/2016,382,57,0.931937173,356,791,443,13,0.14921466,9.102094241,66,2,2.260724,33.237167,15.76901913,9.266927719
Alebtong,3/1/2016,370,51,0.497297297,184,1005,434,14,0.137837838,8.821621622,60,3,2.260724,33.237167,9.266927719,44.75905609
Alebtong,4/1/2016,310,31,0.796774194,247,998,490,15,0.1,18,49,4,2.260724,33.237167,44.75905609,273.359314
Alebtong,5/1/2016,890,239,0.871910112,776,886,1071,16,0.268539326,48.60561798,288,5,2.260724,33.237167,273.359314,148.2330475
Alebtong,6/1/2016,1441,957,0.959056211,1382,876,1671,17,0.664122137,152.7480916,1110,6,2.260724,33.237167,148.2330475,117.8496094
Alebtong,7/1/2016,1042,401,0.142034549,148,1041,1462,18,0.384836852,161.6314779,563,7,2.260724,33.237167,117.8496094,181.1830292
Alebtong,8/1/2016,1323,687,0.631897203,836,624,1531,19,0.519274376,108.0090703,795,8,2.260724,33.237167,181.1830292,151.4015503
Alebtong,9/1/2016,982,509,0.227087576,223,835,1088,20,0.518329939,54.94297352,564,9,2.260724,33.237167,151.4015503,131.1860657
Alebtong,10/1/2016,840,533,0.51547619,433,887,1018,21,0.63452381,112.9452381,646,10,2.260724,33.237167,131.1860657,182.6220093
Alebtong,11/1/2016,817,631,0.979192166,800,1059,980,22,0.772337821,125.8910649,757,11,2.260724,33.237167,182.6220093,61.22425079
Alebtong,12/1/2016,304,147,0.980263158,298,938,611,23,0.483552632,148.4506579,295,12,2.260724,33.237167,61.22425079,8.430599213
Alebtong,1/1/2017,427,151,0.964871194,412,595,491,24,0.353629977,22.6323185,174,1,2.260724,33.237167,8.430599213,9.995258331
Alebtong,2/1/2017,419,96,0.909307876,381,548,482,25,0.229116945,14.43436754,110,2,2.260724,33.237167,9.995258331,107.1382523
Alebtong,3/1/2017,825,260,0.976969697,806,968,874,26,0.315151515,15.44242424,275,3,2.260724,33.237167,107.1382523,85.39969635
